PitchNo,Date,PAofInning,PitchofPA,PitcherId,PitcherThrows,PitcherTeam,BatterId,BatterSide,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,Count,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,AutoHitType,PlayResult,OutsOnPlay,RunsScored,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,EffectiveVelo,MaxHeight,SpeedDrop,ContactPositionX,ContactPositionY,ContactPositionZ,CatcherId,CatcherThrows,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence,System
1,2/8/2023,1,1,1000097856,Left,T_A,691273,Right,T_B,1,Top,0,0,0,0-0,Fastball,Sinker,FoulBall,Undefined,Undefined,,Undefined,0,0,88.36587,0.022601,4.826989,2050.393122,107.329269,9:30,4.12424,-3.57828,5.71519,-29.69222,6.96378,-18.08497,1.67101,-0.57803,79.65981,-5.497948,1.606051,0.435757,,,,,,,,,,,,10.76497,3.89469,3.18531,50,4.10785,-10.01869,-127.79552,-0.9782,17.56498,29.61673,-25.81918,86.49881,,8.70606,,,,1000103236,Right,54.78378,-128.89939,14.80836,4.12638,-0.01586,-12.90959,3.57093,-10.67338,8.78249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,v3
2,2/8/2023,1,2,1000097856,Left,T_A,691273,Right,T_B,1,Top,0,0,1,0-1,ChangeUp,Changeup,BallCalled,Undefined,Undefined,,Undefined,0,0,79.65849,2.258336,1.249165,1973.302397,63.92787,8:15,3.92303,-3.38346,6.17455,-46.21369,-3.11512,-8.79422,2.15915,-2.96246,73.71193,-6.270696,-0.337777,0.472501,,,,,,,,,,,,4.85559,-1.78492,3.29333,50,4.07048,-2.20872,-115.85532,3.13863,6.66959,19.49386,-34.62578,79.77218,,5.94655,,,,1000103236,Right,54.32724,-116.58115,9.74693,3.92962,4.42787,-17.31289,3.38019,-2.45706,3.33479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,v3
3,2/8/2023,1,3,1000097856,Left,T_A,691273,Right,T_B,1,Top,0,1,1,1-1,Fastball,Sinker,BallCalled,Undefined,Undefined,,Undefined,0,0,87.6703,1.660018,3.203333,2180.759638,120.42049,10:00,4.05619,-3.48618,5.90757,-27.41962,8.96028,-13.32709,3.31491,-1.62031,79.95685,-3.455599,0.81647,0.434112,,,,,,,,,,,,7.65961,4.48233,3.23619,50,4.17408,-6.55357,-127.15383,2.78321,12.55463,25.79145,-24.82722,86.82647,,7.71344,,,,1000103236,Right,54.59059,-128.08158,12.89573,4.0579,3.67627,-12.41361,3.48005,-7.00518,6.27731,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,v3
4,2/8/2023,1,4,1000097856,Left,T_A,691273,Right,T_B,1,Top,0,2,1,2-1,Fastball,Sinker,StrikeSwinging,Undefined,Undefined,,Undefined,0,0,87.29584,1.33221,4.138973,2133.802817,126.055578,10:15,4.06452,-3.48624,5.80843,-27.4484,9.15678,-11.12591,3.0195,-0.55769,80.24921,-3.758,2.153588,0.435454,,,,,,,,,,,,6.71221,4.66571,3.15293,50,4.15764,-8.69783,-126.58973,2.03047,10.99573,23.53367,-24.53083,86.55886,,7.04663,,,,1000103236,Right,54.69125,-127.45887,11.76683,4.06592,2.93644,-12.26541,3.48166,-9.10392,5.49786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,v3
5,2/8/2023,1,5,1000097856,Left,T_A,691273,Right,T_B,1,Top,0,2,2,2-2,Fastball,Sinker,BallCalled,Undefined,Undefined,,Undefined,0,0,88.85293,0.904204,5.60622,2261.32875,126.288524,10:15,4.15589,-3.47059,5.76103,-22.81844,12.70284,-15.88001,3.10008,0.44088,81.55267,-3.34666,2.784379,0.428959,,,,,,,,,,,,9.45953,6.55992,3.01443,50,4.21724,-11.94114,-128.58833,1.28576,15.9995,24.12411,-21.07882,87.86956,,7.30025,,,,1000103236,Right,54.73874,-129.4743,12.06205,4.1558,2.05989,-10.53941,3.46376,-12.52873,7.99975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,v3
6,2/8/2023,1,6,1000097856,Left,T_A,691273,Right,T_B,1,Top,0,3,2,3-2,Fastball,Sinker,FoulBall,Undefined,Undefined,FlyBall,Undefined,0,0,88.83291,0.901735,4.98141,2183.934824,129.64934,10:15,4.17423,-3.45199,5.71397,-25.70119,10.26638,-10.9667,2.87576,0.28648,80.71048,-3.88497,3.031847,0.431645,78.93663,41.679133,33.71919,4268.654112,81.39827,76.17565,73.98831,242.08858,222.28454,49.810322,4.745343,7.02189,5.30233,3.04126,50,4.23411,-10.73233,-128.51793,1.15815,11.70812,27.39718,-23.33307,87.32274,79.98193,8.12244,1.53355,2.81699,-0.34968,1000103236,Right,54.78482,-129.53394,13.69859,4.17512,2.02344,-11.66653,3.44731,-11.16652,5.85406,218.50983,1.55729,71.36993,-19.20525,1.70674,2.64562,-1.71005,0.47258,-0.06239,0.0032,2.81108,77.08703,-22.75171,2.15048,-0.12384,-0.17492,0.09255,-0.01784,0.0012,-0.35466,48.09403,-1.36955,-0.69564,0.2914,-0.11196,0.04018,-0.00761,0.00053,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,,v3
7,2/8/2023,1,7,1000097856,Left,T_A,691273,Right,T_B,1,Top,0,3,2,3-2,Fastball,Sinker,StrikeCalled,Strikeout,Undefined,,Undefined,0,0,90.24277,-0.080295,5.090535,2137.24147,109.34827,9:45,4.04726,-3.3389,5.91804,-27.92895,6.50087,-15.40643,1.64504,0.11386,82.4457,-5.263102,2.338694,0.422317,,,,,,,,,,,,9.27583,3.68484,2.93886,50,4.02492,-10.98161,-130.66697,-1.15046,16.05963,27.1696,-25.79432,89.25147,,7.79707,,,,1000103236,Right,54.58155,-131.61617,13.5848,4.04937,-0.24931,-12.89716,3.33232,-11.54266,8.02981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.49852,,,0.843066,,,,4.52646,4.64324,-1.64795,71.29338,3.54047,-53.48832,4.55605,83.64056,-5.29541,4.67772,9.98296,-13.41834,-1.75114,-70.04755,10.23147,High,High,High,,,High,High,High,v3
8,2/8/2023,2,1,1000097856,Left,T_A,1000051968,Left,T_B,1,Top,1,0,0,0-0,Fastball,Sinker,StrikeCalled,Undefined,Undefined,,Undefined,0,0,87.36607,1.097311,5.342089,1980.993139,102.950693,9:30,4.08665,-3.47655,5.90003,-32.33706,4.34484,-14.02607,2.41515,0.32832,80.01271,-4.876691,2.840847,0.435911,,,,,,,,,,,,8.57965,2.27969,3.05381,50,4.1567,-11.24525,-126.46776,1.32626,13.96376,24.60215,-28.46377,86.46829,,7.35336,,,,1000103236,Right,54.59999,-127.35946,12.30107,4.08993,2.35793,-14.23189,3.47056,-11.75136,6.98188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,v3
9,2/8/2023,2,2,1000097856,Left,T_A,1000051968,Left,T_B,1,Top,1,0,1,0-1,Fastball,Sinker,StrikeCalled,Undefined,Undefined,,Undefined,0,0,89.37395,0.826449,5.480319,2109.403996,108.214643,9:30,4.1019,-3.36779,6.05188,-28.26702,6.4752,-16.54552,2.51491,0.34203,82.04259,-4.420837,2.521681,0.424229,,,,,,,,,,,,9.91453,3.43882,2.94919,50,4.15117,-11.73649,-129.43421,0.9276,16.95807,24.92938,-26.29218,88.84931,,7.33136,,,,1000103236,Right,54.44891,-130.28827,12.46469,4.10396,1.82834,-13.14609,3.36122,-12.31746,8.47904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,v3
10,2/8/2023,2,3,1000097856,Left,T_A,1000051968,Left,T_B,1,Top,1,0,2,0-2,Slider,Slider,BallCalled,Undefined,Undefined,,Undefined,0,0,77.79038,0.483843,2.225759,2253.870112,263.751886,2:45,4.08185,-3.58875,5.65709,-43.24065,3.18024,16.71552,0.93004,-0.11905,71.92032,-7.424848,5.2081,0.490375,,,,,,,,,,,,-7.95914,1.85764,3.38922,50,4.09516,-5.0072,-113.00104,-0.41806,-10.32005,20.0526,-29.76538,76.86454,,5.87006,,,,1000103236,Right,54.84439,-113.85746,10.0263,4.08587,0.85317,-14.88269,3.59365,-4.56645,-5.16002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,v3
11,2/8/2023,2,4,1000097856,Left,T_A,1000051968,Left,T_B,1,Top,1,1,2,1-2,Slider,Slider,InPlay,Undefined,Popup,Popup,Out,1,0,76.79343,1.449108,2.166638,2361.120785,268.424563,3:00,4.00593,-3.55218,5.14862,-46.80869,2.21898,24.64962,1.47075,0.54272,70.39071,-7.055292,6.518473,0.503955,65.17676,43.925377,-26.098826,3685.669325,90.03139,67.85182,-63.20086,202.72409,198.84023,-41.306476,4.33899,-11.77587,1.0574,3.32923,50,4.10542,-5.16595,-111.36055,1.24396,-14.68396,21.30558,-30.85552,74.79325,67.9014,6.40271,3.11842,1.91799,-0.40841,1000103236,Right,55.35328,-112.38008,10.65279,4.01057,2.72048,-15.42776,3.55962,-4.46328,-7.34198,148.195027,3.12052,61.77492,-14.11447,3.03759,-0.19619,-0.12775,0.0448,-0.0058,0.00027,1.91728,66.32968,-18.40903,1.13433,-0.13461,-0.03873,0.02921,-0.00614,0.00043,-0.40817,-30.2967,-1.06929,0.45656,-0.04626,-0.02429,0.01057,-0.00165,0.0001,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,,v3
12,2/8/2023,3,1,1000097856,Left,T_A,1000058463,Right,T_B,1,Top,2,0,0,0-0,Fastball,Sinker,BallCalled,Undefined,Undefined,,Undefined,0,0,88.46626,0.284227,6.017685,2125.185817,122.893376,10:00,4.16625,-3.36594,6.45827,-28.06391,6.97339,-9.165,2.09013,1.41856,81.24733,-4.958917,4.370237,0.426026,,,,,,,,,,,,6.3478,3.90496,2.9429,50,4.17395,-13.1415,-128.03309,-0.22296,10.60313,24.8753,-25.65134,88.47441,,7.21893,,,,1000103236,Right,54.04113,-128.81584,12.43765,4.16827,0.58421,-12.82567,3.36167,-13.47515,5.30157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,v3
13,2/8/2023,3,2,1000097856,Left,T_A,1000058463,Right,T_B,1,Top,2,0,1,0-1,Fastball,Sinker,BallCalled,Undefined,Undefined,,Undefined,0,0,88.8435,1.511902,3.303016,2042.649085,118.409032,10:00,4.01868,-3.44334,5.82641,-27.82576,7.98359,-12.53497,3.10804,-1.41394,80.43904,-3.680473,1.061614,0.430695,,,,,,,,,,,,7.31323,3.99721,3.18038,50,4.12619,-6.87833,-128.72281,2.45115,12.18977,28.35984,-25.51143,87.51544,,8.40447,,,,1000103236,Right,54.6701,-129.74763,14.17992,4.02096,3.37304,-12.75572,3.43689,-7.31882,6.09489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,v3
14,2/8/2023,3,3,1000097856,Left,T_A,1000058463,Right,T_B,1,Top,2,1,1,1-1,Fastball,Changeup,StrikeSwinging,Undefined,Undefined,,Undefined,0,0,86.3541,0.710893,4.167694,2077.474831,112.450334,9:45,4.06873,-3.54838,6.0304,-30.88293,6.60197,-13.038,2.15526,-0.7685,78.66674,-5.040745,1.829931,0.440656,,,,,,,,,,,,7.87642,3.56418,3.22911,50,4.10775,-8.59084,-125.15329,0.5508,12.46272,25.82273,-26.53453,85.53714,,7.68737,,,,1000103236,Right,54.46825,-126.07185,12.91136,4.07137,1.49468,-13.26726,3.54259,-9.03416,6.23136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,v3
15,2/8/2023,3,4,1000097856,Left,T_A,1000058463,Right,T_B,1,Top,2,2,1,2-1,Fastball,Sinker,StrikeCalled,Undefined,Undefined,,Undefined,0,0,88.76529,0.556453,3.894967,2136.1369,109.116073,9:45,4.07403,-3.49771,5.93504,-28.44927,7.13945,-17.25095,2.22071,-1.31624,80.78364,-4.743668,0.804715,0.429366,,,,,,,,,,,,9.91367,3.85579,3.196,50,4.10256,-8.02824,-128.6814,0.29008,16.57826,27.3708,-25.72611,87.78629,,7.98165,,,,1000103236,Right,54.5638,-129.64849,13.6854,4.07625,1.19907,-12.86305,3.49001,-8.614,8.28913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,v3
16,2/8/2023,3,5,1000097856,Left,T_A,1000058463,Right,T_B,1,Top,2,2,2,2-2,Slider,Slider,BallCalled,Undefined,Undefined,,Undefined,0,0,78.59836,-0.04953,3.147405,2418.549999,280.549886,3:15,4.05792,-3.42174,5.20392,-48.07148,-1.05965,14.16261,0.00531,0.72156,71.82135,-8.758275,5.651729,0.493486,,,,,,,,,,,,-6.12095,-0.08701,3.11892,50,4.01706,-6.82506,-113.83204,-1.76675,-7.93313,23.28,-32.2868,76.37991,,6.777,,,,1000103236,Right,55.29573,-114.90997,11.64,4.06425,-0.27177,-16.1434,3.42644,-6.45773,-3.96657,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,v3
17,2/8/2023,3,6,1000097856,Left,T_A,1000058463,Right,T_B,1,Top,2,3,2,3-2,Fastball,Sinker,BallCalled,Walk,Undefined,,Undefined,0,0,89.12064,0.41625,6.484378,2090.738819,120.434959,10:00,4.1448,-3.26627,6.19516,-26.98017,8.61138,-12.47532,2.28321,1.70612,80.23511,-4.650067,4.255895,0.429383,,,,,,,,,,,,8.44465,4.70697,2.78202,50,4.16295,-14.0883,-128.56363,0.08325,13.95338,29.8286,-24.39657,87.78274,,8.88554,,,,1000103236,Right,54.30098,-129.55768,14.9143,4.14663,0.89628,-12.19829,3.25927,-14.5533,6.97669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,v3
18,2/8/2023,4,1,1000097856,Left,T_A,1000110361,Right,T_B,1,Top,2,0,0,0-0,Fastball,Sinker,StrikeCalled,Undefined,Undefined,,Undefined,0,0,87.29201,0.122894,5.894762,2013.360585,113.824455,9:45,4.18886,-3.22115,6.211,-29.5788,7.19567,-13.45009,1.83798,1.11764,79.14746,-5.40753,3.485563,0.43646,,,,,,,,,,,,8.67634,4.07666,2.7839,50,4.18351,-12.47952,-126.16,-0.66522,13.8878,27.30886,-25.64877,86.3594,,8.14455,,,,1000103236,Right,54.28657,-127.08449,13.65443,4.19134,0.20308,-12.82438,3.21433,-12.94967,6.9439,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,v3
19,2/8/2023,4,2,1000097856,Left,T_A,1000110361,Right,T_B,1,Top,2,0,1,0-1,Slider,Slider,FoulBall,Undefined,Undefined,,Undefined,0,0,77.08189,2.414393,1.861272,2384.62817,259.894261,2:45,4.07915,-3.38002,5.23967,-43.32353,5.14709,20.33414,2.74061,0.06446,70.41486,-5.510619,5.456818,0.501084,95.97274,44.05708,-31.965622,4012.96455,,,,,113.65523,,,-9.70142,2.27299,3.19277,50,4.26909,-4.4189,-111.73579,3.28068,-12.20195,21.09617,-29.31518,75.2218,105.78239,6.66704,2.66152,2.87685,0.03779,1000103236,Right,55.26091,-112.72469,10.54808,4.0831,4.65486,-14.65759,3.3865,-3.84693,-6.10097,157.611737,2.66152,85.81787,-27.87045,8.77451,-2.3211,0.58586,-0.14622,0.03159,-0.00386,2.87685,97.88082,-20.86395,0.56713,0.46857,-0.24939,0.07674,-0.01489,0.00139,0.03779,-53.55339,6.26469,-1.31826,0.20827,-0.02572,0.00533,-0.00229,0.00047,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,,v3
20,2/8/2023,4,3,1000097856,Left,T_A,1000110361,Right,T_B,1,Top,2,0,2,0-2,Slider,Curveball,BallCalled,Undefined,Undefined,,Undefined,0,0,75.72876,0.034932,2.885608,2310.282673,271.520852,3:00,4.11927,-3.22011,5.17608,-49.21904,1.25728,14.45729,0.0506,0.70224,69.48679,-8.87921,5.441641,0.511346,,,,,,,,,,,,-6.38048,1.06996,2.93983,50,4.08503,-6.08819,-109.73772,-1.57547,-7.718,20.87469,-30.87981,73.71213,,6.24197,,,,1000103236,Right,55.32372,-110.74578,10.43735,4.12511,-0.08424,-15.4399,3.22484,-5.71548,-3.859,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,v3
21,2/8/2023,4,4,1000097856,Left,T_A,1000110361,Right,T_B,1,Top,2,1,2,1-2,Fastball,Sinker,InPlay,Undefined,GroundBall,GroundBall,Out,1,0,88.23647,0.354131,5.277689,2174.564551,135.14174,10:30,4.09197,-3.51917,5.80401,-25.23974,11.3493,-10.02634,2.31941,0.56758,79.73335,-4.370969,3.493608,0.435358,82.01414,-2.710949,-21.497976,,,,,27.05078,19.20123,-21.4545,0.217077,6.77611,6.0424,3.09099,50,4.10623,-11.36335,-127.54898,-0.03394,11.04939,28.72314,-22.32107,86.57799,2.26267,8.50311,2.02885,2.26267,-0.44613,1000103236,Right,54.69455,-128.60182,14.36157,4.09248,0.78423,-11.16053,3.51493,-11.76836,5.5247,43.598606,2.03114,111.65329,-23.22362,,,,,,,2.26467,-5.81142,-21.32902,,,,,,,-0.44586,-44.04904,2.40843,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Low,,,,v3
22,2/8/2023,1,1,691205,Right,T_B,8886045,Left,T_A,1,Bottom,0,0,0,0-0,Fastball,Sinker,StrikeSwinging,Undefined,Undefined,,Undefined,0,0,94.75058,-0.93455,-2.467603,2340.873007,228.565172,1:30,5.30809,1.64041,5.27457,-16.81745,15.33717,16.11225,3.02797,0.66395,85.69074,-4.104994,0.388777,0.408125,,,,,,,,,,,,-8.75725,8.26252,-1.4271,50,5.21077,5.12015,-137.27421,-2.83116,-16.56936,32.78145,-16.54077,92.35513,,9.05985,,,,1000055344,Right,55.22237,-138.51571,16.39073,5.30614,-2.20473,-8.27038,-1.63289,5.74767,-8.28468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,v3
23,2/8/2023,1,2,691205,Right,T_B,8886045,Left,T_A,1,Bottom,0,0,1,0-1,Fastball,Sinker,StrikeCalled,Undefined,Undefined,,Undefined,0,0,95.18171,-2.009207,-3.636119,2265.607535,231.667026,1:45,5.17607,1.51562,5.75981,-17.37843,14.19438,16.47379,1.85318,-0.50057,85.60604,-5.310707,-0.693028,0.404416,,,,,,,,,,,,-9.49134,8.19485,-1.22382,50,4.99885,7.97011,-137.70087,-5.40865,-17.94505,34.94142,-16.68019,93.20217,,9.57566,,,,1000055344,Right,54.73625,-138.89748,17.47071,5.17429,-4.83741,-8.3401,-1.50729,8.58467,-8.97253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,v3
24,2/8/2023,1,3,691205,Right,T_B,8886045,Left,T_A,1,Bottom,0,0,2,0-2,Fastball,Four-Seam,InPlay,Undefined,GroundBall,GroundBall,Out,1,0,95.52251,-1.794284,-3.144082,2247.588626,219.6973,1:15,5.45942,1.50626,5.41755,-13.92414,17.8317,13.81938,2.61517,-0.29034,85.75403,-4.46876,-0.690263,0.405586,66.29406,-17.789166,3.993832,,,,,11.27854,10.33835,4.591222,0.088508,-8.02811,9.91182,-1.23693,50,5.29074,6.93233,-138.21207,-4.78078,-15.26427,35.70458,-13.3282,92.93322,2.6401,9.76848,3.03405,2.6401,0.32971,1000055344,Right,55.08039,-139.51832,17.85229,5.45672,-4.29316,-6.6641,-1.50076,7.49077,-7.63214,180,3.02859,92.74103,,,,,,,,2.64185,-29.82898,,,,,,,,0.32933,6.47505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Low,,,,v3
25,2/8/2023,2,1,691205,Right,T_B,1000102964,Right,T_A,1,Bottom,1,0,0,0-0,Slider,Slider,InPlay,Undefined,GroundBall,GroundBall,Out,1,0,83.40461,0.550622,0.089351,2338.696963,44.286577,7:30,5.37118,1.42804,4.30941,-47.38601,-4.46303,-5.76284,1.94882,1.03323,75.98111,-7.919617,-0.916966,0.471538,58.37509,-8.328963,-29.471284,,,,,16.03975,2.4864,-29.214084,0.162255,2.82725,-1.95957,-1.43141,50,5.38235,0.0804,-120.82774,-0.81227,4.1453,25.34662,-35.04716,79.93519,2.02001,7.42351,1.9871,2.02001,-1.04023,1000055344,Right,56.19031,-122.1194,12.67331,5.37824,0.97374,-17.52358,-1.43012,-0.13084,2.07265,,1.97973,74.03435,,,,,,,,2.02125,-12.44962,,,,,,,,-1.03606,-41.83765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Estimated,Estimated,,,,v3
26,2/8/2023,3,1,691205,Right,T_B,1000079407,Left,T_A,1,Bottom,2,0,0,0-0,Cutter,Four-Seam,BallCalled,Undefined,Undefined,,Undefined,0,0,91.00167,0.144277,-3.578745,2444.828288,207.592458,1:00,5.40864,1.55795,4.64444,-22.9873,12.06276,5.78796,3.6304,-1.36488,83.93532,-4.042946,-2.566994,0.426104,,,,,,,,,,,,-3.69362,6.16929,-1.19691,50,5.40283,7.9642,-131.89907,-0.6004,-6.59316,24.57093,-21.16176,88.45828,,7.06634,,,,1000055344,Right,55.8548,-132.98526,12.28546,5.4087,0.33509,-10.58088,-1.55542,8.25566,-3.29658,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,v3
27,2/8/2023,3,2,691205,Right,T_B,1000079407,Left,T_A,1,Bottom,2,1,0,1-0,ChangeUp,Changeup,StrikeCalled,Undefined,Undefined,,Undefined,0,0,86.908,0.824993,-3.827008,1883.402297,278.649234,3:15,5.15455,1.80022,5.49567,-39.67829,-1.23051,17.74544,2.62151,-0.3061,77.85197,-6.475531,-0.671301,0.446279,,,,,,,,,,,,-10.16402,-0.42339,-1.47708,50,5.20053,7.6087,-125.66787,0.32721,-15.90498,30.56135,-32.83658,84.45927,,9.05602,,,,1000055344,Right,55.00096,-126.87823,15.28067,5.16181,1.62768,-16.41829,-1.7909,8.2386,-7.95249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,v3
28,2/8/2023,3,3,691205,Right,T_B,1000079407,Left,T_A,1,Bottom,2,1,1,1-1,Fastball,Sinker,BallCalled,Undefined,Undefined,,Undefined,0,0,95.5274,-2.581267,-3.392882,2276.781372,234.113843,1:45,5.28899,1.49781,5.75212,-19.25257,12.43784,15.43182,1.2758,-0.37842,85.16941,-6.228878,-0.634531,0.405168,,,,,,,,,,,,-8.98123,7.59245,-1.22515,50,5.06287,7.4413,-138.01767,-6.88531,-16.87526,38.13017,-17.90826,93.0291,,10.35799,,,,1000055344,Right,54.74208,-139.3216,19.06509,5.28786,-6.2729,-8.95413,-1.48949,8.01838,-8.43763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,v3
29,2/8/2023,3,4,691205,Right,T_B,1000079407,Left,T_A,1,Bottom,2,2,1,2-1,Fastball,Sinker,StrikeCalled,Undefined,Undefined,,Undefined,0,0,95.37218,-2.229651,-1.66968,2397.3017,232.513804,1:45,5.3259,1.53522,5.57878,-18.44292,13.13292,15.6191,1.70467,1.27697,85.94981,-5.702454,1.118028,0.404435,,,,,,,,,,,,-8.37185,7.68351,-1.40175,50,5.1222,3.26966,-138.12801,-6.02173,-15.93016,35.10029,-17.55369,93.1977,,9.42237,,,,1000055344,Right,54.917,-139.37189,17.55014,5.32457,-5.39966,-8.77685,-1.52762,3.83419,-7.96508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,v3
30,2/8/2023,3,5,691205,Right,T_B,1000079407,Left,T_A,1,Bottom,2,2,2,2-2,Slider,Slider,StrikeSwinging,Strikeout,Undefined,,Undefined,0,0,85.94586,-0.656988,-0.666924,2571.80997,69.168077,8:15,5.23978,1.52028,4.07073,-43.35164,-2.48957,-10.20776,0.99619,0.02917,78.29019,-8.366675,-2.44211,0.460078,,,,,,,,,,,,4.68827,-0.59106,-1.43346,50,5.11883,1.95468,-124.40654,-3.33526,7.27866,27.14119,-33.09168,81.92616,,7.65567,,,,1000055344,Right,56.42766,-125.80101,13.5706,5.24651,-1.63506,-16.54584,-1.52428,1.58071,3.63933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.06069,,,1.295459,,,,-1.54832,5.18974,-0.41091,79.69519,7.12081,-45.09286,-1.44295,68.01539,-4.13105,5.31581,19.7094,-14.10469,-0.60244,-41.04372,5.12861,High,High,High,,,High,High,High,v3
