PitchNo,Date,PAofInning,PitchofPA,PitcherId,PitcherThrows,PitcherTeam,BatterId,BatterSide,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,Count,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,AutoHitType,PlayResult,OutsOnPlay,RunsScored,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,EffectiveVelo,MaxHeight,SpeedDrop,ContactPositionX,ContactPositionY,ContactPositionZ,CatcherId,CatcherThrows,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence,System
1,2/7/2023,1,1,1000051614,Left,T_A,691273,Right,T_B,1,Top,0,0,0,0-0,Fastball,Sinker,StrikeCalled,Undefined,Undefined,,Undefined,0,0,93.33347,-0.944457,3.899446,2175.158067,107.978272,9:30,5.5252,-2.36663,5.59903,-26.15785,6.42217,-16.53028,2.46151,-0.09802,85.13805,-5.777347,0.955191,0.410816,,,,,,,,,,,,9.44489,3.84099,2.04299,50,5.42723,-8.45406,-135.23837,-3.21949,17.46741,29.87791,-25.07053,91.75025,,8.19542,,,,1000055344,Right,54.90007,-136.31663,14.93895,5.52709,-2.31472,-12.53527,2.35946,-9.08444,8.7337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,v3
2,2/7/2023,1,2,1000051614,Left,T_A,691273,Right,T_B,1,Top,0,0,1,0-1,ChangeUp,Changeup,StrikeSwinging,Undefined,Undefined,,Undefined,0,0,84.71314,-0.678703,4.601057,1613.166167,88.153205,9:00,5.13822,-2.74307,5.16945,-39.809,0.83661,-18.85186,1.17998,0.02529,76.79575,-7.927974,1.270765,0.458858,,,,,,,,,,,,10.84623,1.03004,2.32875,50,5.0444,-9.02984,-122.46466,-2.94815,16.28192,26.7863,-30.62777,82.14402,,7.91739,,,,1000055344,Right,55.33001,-123.62498,13.39315,5.14337,-1.62143,-15.31388,2.73518,-9.73514,8.14096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,v3
3,2/7/2023,1,3,1000051614,Left,T_A,691273,Right,T_B,1,Top,0,0,2,0-2,Slider,Slider,BallCalled,Undefined,Undefined,,Undefined,0,0,83.29503,-0.12357,0.929019,2709.19322,294.187483,3:45,5.41255,-2.45909,4.26585,-46.19392,-3.25839,10.32957,1.44481,-0.70927,76.33749,-8.353457,2.731101,0.471606,,,,,,,,,,,,-4.73788,-1.16658,2.34652,50,5.35139,-2.44005,-120.71225,-2.1892,-6.96409,24.33919,-33.88877,79.9235,,6.95753,,,,1000055344,Right,56.23424,-121.96279,12.1696,5.41914,-0.44802,-16.94438,2.4627,-2.08224,-3.48204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,v3
4,2/7/2023,1,4,1000051614,Left,T_A,691273,Right,T_B,1,Top,0,1,2,1-2,Slider,Curveball,StrikeSwinging,Strikeout,Undefined,,Undefined,0,0,82.60286,-0.12792,2.089447,2660.70289,319.775878,4:45,5.40552,-2.61971,4.43164,-55.10263,-11.34032,10.8415,0.69153,0.2779,75.47838,-9.924675,3.986752,0.476126,,,,,,,,,,,,-4.64969,-5.14079,2.3867,50,5.33739,-4.85502,-119.61698,-2.52967,-6.65085,25.81875,-39.52738,79.16491,,7.12448,,,,1000055344,Right,56.06989,-120.92004,12.90938,5.41472,-0.53474,-19.76369,2.62325,-4.51936,-3.32542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,v3
5,2/7/2023,2,1,1000051614,Left,T_A,1000187793,Left,T_B,1,Top,1,0,0,0-0,Slider,Sinker,BallCalled,Undefined,Undefined,,Undefined,0,0,93.62887,-1.452149,6.003433,2164.104553,101.886336,9:30,5.43152,-2.42679,5.37128,-27.59368,5.26914,-19.85395,1.76276,1.56804,85.3121,-6.5123,2.498538,0.412595,,,,,,,,,,,,11.62123,3.38469,1.90124,50,5.28116,-13.27081,-135.18412,-4.53315,21.48387,29.74168,-25.91685,91.35464,,8.31677,,,,1000055344,Right,55.12842,-136.30775,14.87084,5.43392,-3.55402,-12.95843,2.41794,-14.08246,10.74194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,v3
6,2/7/2023,2,2,1000051614,Left,T_A,1000187793,Left,T_B,1,Top,1,1,0,1-0,Fastball,Sinker,FoulBall,Undefined,Undefined,,Undefined,0,0,92.16486,-1.5251,5.03155,2259.80923,108.246675,9:30,5.37911,-2.63405,5.10698,-25.90722,8.72504,-22.51915,1.77735,0.24222,82.83434,-6.307,1.064649,0.423557,,,,,,,,,,,,12.84942,5.19024,2.17735,50,5.21498,-10.62758,-133.02538,-4.56264,22.66022,32.74894,-23.02092,88.99021,,9.33052,,,,1000055344,Right,55.39159,-134.34615,16.37447,5.38027,-3.6342,-11.51046,2.62439,-11.54147,11.33011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,v3
7,2/7/2023,2,3,1000051614,Left,T_A,1000187793,Left,T_B,1,Top,1,1,1,1-1,Slider,Slider,FoulBall,Undefined,Undefined,,Undefined,0,0,81.42486,0.988265,2.015373,2403.341761,290.051386,3:45,5.37846,-2.76674,4.57462,-46.72691,-2.76626,10.99382,2.42554,0.06778,75.36636,-7.367778,3.939886,0.477203,,,,,,,,,,,,-4.80154,-1.125,2.54741,50,5.43736,-4.65733,-118.12779,0.16957,-6.84337,20.67676,-33.77744,78.98612,,6.0585,,,,1000055344,Right,55.92518,-119.16041,10.33838,5.38677,1.85644,-16.88872,2.77147,-4.31556,-3.42169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,v3
8,2/7/2023,2,4,1000051614,Left,T_A,1000187793,Left,T_B,1,Top,1,1,2,1-2,Slider,Slider,InPlay,Undefined,FlyBall,,Out,1,0,83.86156,0.822318,2.309141,2578.680913,303.359326,4:00,5.42591,-2.64558,4.45859,-46.67581,-4.04103,8.45603,2.32103,0.26205,75.82729,-7.556788,3.786111,0.469952,83.0528,42.979786,1.028655,4218.236084,,,,,94.66861,,,-3.38087,-1.86339,2.39285,50,5.46738,-5.2823,-121.29622,-0.16865,-4.95272,27.42437,-34.90377,80.20488,80.00784,8.03427,2.80148,2.52414,-0.18024,1000055344,Right,56.04029,-122.65429,13.71219,5.43293,1.55981,-17.45188,2.64836,-5.03704,-2.47636,163.414114,2.80148,89.10148,-18.81885,4.70342,-1.00268,0.15978,0.01717,-0.02317,0.00516,2.52414,83.04328,-19.37188,1.30407,-0.19107,0.0907,-0.08377,0.04107,-0.00781,-0.18024,1.5998,-4.58422,1.3573,-0.32195,0.04194,0.0207,-0.01546,0.00322,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,,v3
9,2/7/2023,3,1,1000051614,Left,T_A,1000110361,Right,T_B,1,Top,2,0,0,0-0,Fastball,Sinker,BallCalled,Undefined,Undefined,,Undefined,0,0,91.62401,-1.263831,5.681843,2187.628553,115.45422,9:45,5.32597,-2.57818,5.38512,-25.31879,9.50064,-17.17021,2.02541,1.33425,82.15641,-5.96854,2.649292,0.4247,,,,,,,,,,,,10.40682,5.56803,2.08091,50,5.19503,-12.32248,-132.09662,-3.86272,18.07069,32.67218,-22.50556,88.75078,,9.4676,,,,1000055344,Right,55.11044,-133.35462,16.33609,5.32708,-2.99617,-11.25278,2.56877,-13.01827,9.03534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,v3
10,2/7/2023,3,2,1000051614,Left,T_A,1000110361,Right,T_B,1,Top,2,1,0,1-0,ChangeUp,Changeup,BallCalled,Undefined,Undefined,,Undefined,0,0,86.99691,-1.95536,5.261785,1491.698571,123.840408,10:15,5.15404,-2.74011,5.13007,-28.08053,11.02398,-14.15784,0.96397,1.0495,77.96149,-7.144817,2.769988,0.450075,,,,,,,,,,,,8.84229,6.57323,2.25657,50,4.94857,-10.90245,-125.37603,-5.31225,13.77796,30.32831,-21.93174,83.74706,,9.03543,,,,1000055344,Right,55.36614,-126.66744,15.16415,5.15489,-4.37837,-10.96587,2.73329,-11.48913,6.88898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,v3
