PitchNo,Date,PAofInning,PitchofPA,PitcherId,PitcherThrows,PitcherTeam,BatterId,BatterSide,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,Count,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,AutoHitType,PlayResult,OutsOnPlay,RunsScored,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,EffectiveVelo,MaxHeight,SpeedDrop,ContactPositionX,ContactPositionY,ContactPositionZ,CatcherId,CatcherThrows,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence,System
1,2/1/2023,1,1,691205,Right,T_A,8886045,Left,T_B,1,Top,0,0,0,0-0,Fastball,Four-Seam,FoulBall,Undefined,Undefined,,Undefined,0,0,95.60174,-2.409789,-2.381837,2230.595219,228.761048,1:45,5.36462,1.62273,5.63241,-17.19969,13.88249,14.64233,1.67968,0.61936,86.94659,-5.645382,0.232329,0.401261,,,,,,,,,,,,-8.20422,8.07579,-1.4299,50,5.14856,5.09563,-138.59264,-6.43251,-15.86299,32.68183,-16.55932,93.93494,,8.65515,,,,1000055344,Right,54.86759,-139.73576,16.34092,5.36343,-5.85331,-8.27966,-1.61783,5.65047,-7.93149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,v3
2,2/1/2023,1,2,691205,Right,T_A,8886045,Left,T_B,1,Top,0,0,1,0-1,Slider,Slider,StrikeCalled,Undefined,Undefined,,Undefined,0,0,84.09978,0.722981,-1.370874,2497.700702,71.231229,8:15,5.24975,1.61385,4.16973,-44.57947,-2.2289,-10.62776,2.22804,-0.58609,76.77706,-7.229167,-3.219173,0.468383,,,,,,,,,,,,4.6974,-0.86165,-1.45022,50,5.28263,3.4283,-121.79055,-0.36644,7.02174,24.98653,-33.46207,80.47355,,7.32273,,,,1000055344,Right,56.32897,-123.08215,12.49326,5.25687,1.36327,-16.73104,-1.61805,3.06533,3.51087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,v3
3,2/1/2023,1,3,691205,Right,T_A,8886045,Left,T_B,1,Top,0,0,2,0-2,Slider,Slider,StrikeSwinging,Strikeout,Undefined,,Undefined,0,0,84.14839,-0.488789,-1.271368,2352.432279,71.780194,8:30,5.28453,1.73137,3.96929,-44.674,-2.3674,-11.10229,1.09135,-0.41712,77.56837,-8.389095,-3.197416,0.46814,,,,,,,,,,,,4.9904,-0.66087,-1.57295,50,5.17845,3.24155,-121.96432,-2.983,7.5342,23.47358,-33.17176,80.5154,,6.58002,,,,1000055344,Right,56.53153,-123.21499,11.73679,5.29031,-1.21562,-16.58588,-1.73497,2.84013,3.7671,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.26999,2.409226,1.319578,1.089648,1.55119,1.11116,0.40962,-0.72476,5.20364,-0.39652,72.79345,7.29002,-51.99114,-0.63156,73.02785,-5.14229,5.32275,17.87261,-14.69408,-0.54592,-53.88692,6.06577,High,High,High,,,High,High,High,v3
4,2/1/2023,2,1,691205,Right,T_A,691273,Right,T_B,1,Top,1,0,0,0-0,Fastball,Sinker,BallCalled,Undefined,Undefined,,Undefined,0,0,96.70738,-2.698448,-4.607513,2340.489952,238.355995,2:00,5.44547,1.51234,5.50988,-19.74733,10.69146,15.77954,1.26635,-1.49074,88.54212,-6.359517,-1.806135,0.397086,,,,,,,,,,,,-9.22315,6.41748,-1.12064,50,5.19604,10.52435,-139.90852,-7.35814,-18.33462,30.70288,-19.41675,94.92249,,8.16526,,,,1000055344,Right,54.99009,-140.99934,15.35144,5.4452,-6.66829,-9.70838,-1.50613,11.17575,-9.16731,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,v3
5,2/1/2023,2,2,691205,Right,T_A,691273,Right,T_B,1,Top,1,1,0,1-0,Fastball,Sinker,StrikeCalled,Undefined,Undefined,,Undefined,0,0,96.05801,-2.832252,-3.199716,2369.478103,229.405274,1:45,5.44807,1.4069,5.75815,-16.11312,14.43072,15.68611,1.46273,-0.26738,87.76025,-5.869314,-0.39541,0.397771,,,,,,,,,,,,-8.91878,8.44713,-1.1513,50,5.2031,7.06617,-139.20487,-7.43785,-17.49765,31.29712,-15.60169,94.7591,,8.29776,,,,1000055344,Right,54.74185,-140.26691,15.64856,5.44651,-6.90842,-7.80084,-1.40115,7.65994,-8.74883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,v3
6,2/1/2023,2,3,691205,Right,T_A,691273,Right,T_B,1,Top,1,1,1,1-1,Slider,Curveball,StrikeCalled,Undefined,Undefined,,Undefined,0,0,83.68362,1.085953,-0.529826,2323.991477,82.646189,8:45,5.34185,1.49869,4.28122,-43.41809,-0.85976,-17.34981,2.76266,-0.45397,76.38362,-6.687372,-3.55351,0.469531,,,,,,,,,,,,8.21863,-0.32878,-1.42216,50,5.41549,1.94387,-121.25153,0.48695,12.17869,24.73151,-32.66124,80.27687,,7.3,,,,1000055344,Right,56.21842,-122.51333,12.36576,5.34814,2.15332,-16.33062,-1.50548,1.32252,6.08934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,v3
7,2/1/2023,2,4,691205,Right,T_A,691273,Right,T_B,1,Top,1,1,1,1-1,Slider,Curveball,InPlay,Undefined,GroundBall,GroundBall,Out,1,0,83.58098,0.261068,-0.631551,2379.132438,48.679417,7:30,5.41221,1.38758,4.41504,-51.37755,-9.02434,-11.78367,1.37989,-0.19708,76.75942,-8.886568,-2.694296,0.468397,90.6073,-5.628768,9.825525,,,,,13.97881,13.97881,9.731725,0.095052,5.58378,-4.15299,-1.30801,50,5.38875,1.87586,-121.21816,-1.58364,8.27826,24.49057,-38.33112,80.47105,1.26682,6.82155,1.52543,1.26682,0.20281,1000055344,Right,56.08706,-122.4418,12.24529,5.42003,0.33152,-19.16556,-1.3914,1.46224,4.13913,200.353075,1.52552,130.2974,-14.7186,,,,,,,1.26677,-13.02631,-3.16004,,,,,,,0.20279,22.57098,1.63004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,,v3
8,2/1/2023,3,1,691205,Right,T_A,1000051968,Left,T_B,1,Top,2,0,0,0-0,Cutter,Slider,StrikeSwinging,Undefined,Undefined,,Undefined,0,0,90.16602,-1.267945,-2.562478,2338.666261,213.390406,1:00,5.34558,1.6353,5.11563,-29.16151,5.8554,3.21614,1.71962,-0.51224,83.56282,-6.562298,-1.993844,0.425903,,,,,,,,,,,,-2.22343,3.52433,-1.39664,50,5.20338,5.7093,-130.88325,-4.05279,-3.90651,24.28875,-25.98185,88.50014,,6.6032,,,,1000055344,Right,55.38443,-131.87868,12.14438,5.34765,-2.98797,-12.99093,-1.63391,5.8694,-1.95326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,v3
9,2/1/2023,3,2,691205,Right,T_A,1000051968,Left,T_B,1,Top,2,0,1,0-1,Cutter,Cutter,BallCalled,Undefined,Undefined,,Undefined,0,0,89.92947,0.865196,-1.670849,2359.944839,178.39083,12:00,5.48534,1.45742,4.6694,-26.0845,9.7393,-0.24508,4.13383,-0.15046,82.84732,-3.878659,-1.713813,0.430782,,,,,,,,,,,,-0.29055,4.86847,-1.28691,50,5.55021,3.81864,-130.49902,0.90691,-0.50676,24.53757,-23.68311,87.49776,,7.08215,,,,1000055344,Right,55.82927,-131.59052,12.26879,5.48644,1.9604,-11.84156,-1.45727,3.84118,-0.25338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,v3
10,2/1/2023,3,3,691205,Right,T_A,1000051968,Left,T_B,1,Top,2,1,1,1-1,Slider,Curveball,BallCalled,Undefined,Undefined,,Undefined,0,0,83.77037,-1.269376,-2.658375,2541.992692,57.878035,8:00,5.28227,1.69487,4.16045,-49.33239,-6.54985,-12.60757,-0.04722,-1.90619,77.06711,-9.975172,-4.851469,0.470766,,,,,,,,,,,,5.3628,-2.50894,-1.38582,50,5.08865,6.21442,-121.25031,-4.77716,7.93445,25.06963,-35.88608,80.06626,,6.70325,,,,1000055344,Right,56.34139,-122.55444,12.53482,5.28861,-2.91036,-17.94304,-1.69836,5.80166,3.96722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,v3
