PitchNo,Date,PAofInning,PitchofPA,PitcherId,PitcherThrows,PitcherTeam,BatterId,BatterSide,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,Count,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,AutoHitType,PlayResult,OutsOnPlay,RunsScored,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,EffectiveVelo,MaxHeight,SpeedDrop,ContactPositionX,ContactPositionY,ContactPositionZ,CatcherId,CatcherThrows,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence,System
1,2/9/2023,1,1,1000036206,Right,T_A,1000102964,Right,T_B,1,Top,0,0,0,0-0,Slider,Slider,InPlay,Undefined,FlyBall,LineDrive,Out,1,0,80.06796,0.361239,-0.53832,2456.2509,66.414081,8:15,5.28821,0.62339,4.76956,-49.01066,-3.06835,-10.65749,1.54649,-0.77511,72.86454,-8.476788,-2.414979,0.48784,80.05394,24.266298,0.082854,2613.300708,109.94985,39.89941,3.32066,272.57937,269.32485,3.745095,3.775439,5.09524,-1.21228,-0.55949,50,5.28124,1.54684,-116.03454,-1.11552,6.86087,24.21574,-33.80643,77.26387,44.92603,7.20342,2.07823,1.67877,0.75765,1000079507,Right,55.72995,-117.22425,12.10787,5.29524,0.54537,-16.90321,-0.62721,1.20977,3.43043,191.483887,2.07774,107.05223,-18.06523,4.2189,-0.99975,0.2636,-0.06115,0.0088,-0.00053,1.67928,48.23955,-13.84851,0.03416,0.24706,-0.13377,0.03873,-0.00549,0.00029,0.75773,0.15226,2.07491,-0.43298,0.10178,-0.03057,0.00801,-0.00122,8.00E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,,v3
2,2/9/2023,2,1,1000036206,Right,T_A,8886045,Left,T_B,1,Top,1,0,0,0-0,Fastball,Sinker,InPlay,Undefined,Bunt,,Single,0,0,90.32077,-1.760704,-1.295945,2263.744995,241.199814,2:00,5.26961,0.66013,5.45703,-23.97257,11.20016,18.14237,1.6228,0.95868,81.89977,-6.215115,1.936258,0.426849,,,,,,,,,,,,-9.65217,6.5428,-0.55916,50,5.09818,2.16222,-130.96974,-4.87824,-16.57056,30.65711,-20.94158,88.30388,,8.421,,,,1000079507,Right,55.04281,-132.14488,15.32855,5.26978,-4.07552,-10.47079,-0.65422,2.7974,-8.28528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,v3
3,2/9/2023,3,1,1000036206,Right,T_A,1000103136,Right,T_B,1,Top,1,0,0,0-0,Slider,Slider,StrikeCalled,Undefined,Undefined,,Undefined,0,0,77.58958,1.328397,-0.476987,2426.52694,72.876663,8:30,5.33839,0.80936,4.63602,-51.60404,-2.67103,-13.89107,2.30084,-0.80157,70.88458,-7.954879,-2.9152,0.503469,,,,,,,,,,,,6.63075,-1.20323,-0.74704,50,5.42729,1.53003,-112.45537,0.67864,8.4368,21.61008,-33.70501,74.86551,,6.705,,,,1000079507,Right,55.86337,-113.57652,10.80504,5.34672,2.42728,-16.8525,-0.81506,1.09232,4.2184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,v3
4,2/9/2023,3,2,1000036206,Right,T_A,1000103136,Right,T_B,1,Top,1,0,1,0-1,Fastball,Sinker,StrikeSwinging,Undefined,Undefined,,Undefined,0,0,87.28663,-1.063242,-3.382238,2210.779764,244.495056,2:15,5.29578,0.70927,5.15766,-27.74671,10.59898,19.25804,1.98087,-0.8733,78.65534,-6.195123,0.023279,0.445687,,,,,,,,,,,,-10.61749,6.02579,-0.40845,50,5.1756,6.57207,-126.2536,-3.35838,-16.88774,29.20121,-22.58966,84.57159,,8.6313,,,,1000079507,Right,55.33891,-127.48245,14.60061,5.29693,-2.40775,-11.29483,-0.69998,7.28274,-8.44387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,v3
5,2/9/2023,3,3,1000036206,Right,T_A,1000103136,Right,T_B,1,Top,1,0,2,0-2,Fastball,Sinker,BallCalled,Undefined,Undefined,,Undefined,0,0,88.739,-0.17886,-4.006935,2195.296256,244.328371,2:15,5.23259,0.64996,5.34941,-26.04328,10.66583,19.48332,2.89414,-1.49088,80.12322,-5.017245,-0.554619,0.436072,,,,,,,,,,,,-10.9465,5.77941,-0.303,50,5.19822,8.09922,-128.39474,-1.33561,-18.0855,29.12995,-22.62548,86.43623,,8.61577,,,,1000079507,Right,55.14797,-129.55744,14.56498,5.23351,-0.43254,-11.31274,-0.64068,8.82109,-9.04275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,v3
6,2/9/2023,3,4,1000036206,Right,T_A,1000103136,Right,T_B,1,Top,1,1,2,1-2,ChangeUp,Changeup,InPlay,Undefined,FlyBall,FlyBall,Out,1,0,83.75674,-0.805794,-3.579182,1880.36741,253.155885,2:30,5.02169,0.83256,5.4319,-33.94045,6.96386,18.37836,1.43716,-0.99222,76.19029,-7.051697,-0.312353,0.460316,72.59416,25.515604,19.78093,3911.740043,100.53931,36.06759,44.62949,226.75082,220.14615,28.650518,3.324727,-10.36567,4.13733,-0.52852,50,4.92676,6.82333,-121.32415,-2.88629,-15.33427,25.39843,-26.05358,81.88386,36.9748,7.56644,2.14508,1.52059,0.98006,1000079507,Right,55.06766,-122.38044,12.69922,5.02427,-1.80276,-13.02679,-0.82555,7.46106,-7.66713,216.532333,2.14496,90.42117,-16.11962,3.45773,-0.76365,0.18387,-0.03994,0.00533,-0.00027,1.52071,45.85811,-15.90137,0.74824,0.03105,-0.08467,0.03091,-0.00433,0.00017,0.98008,32.51675,0.38436,-0.3213,0.17013,-0.08268,0.02685,-0.00482,0.00036,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,,v3
7,2/9/2023,4,1,1000036206,Right,T_A,1000051953,Right,T_B,1,Top,2,0,0,0-0,ChangeUp,Changeup,InPlay,Undefined,GroundBall,GroundBall,Error,0,0,81.88869,-0.716145,-2.214155,1890.975124,253.342846,2:30,5.03587,0.86286,5.37673,-35.76738,6.94788,18.45887,1.38335,0.32435,74.73298,-7.282684,1.069465,0.470395,81.89388,-13.8421,-46.39659,,,,,8.8164,8.8164,-33.025663,0.053908,-10.02091,4.08355,-0.67842,50,4.9464,3.84649,-118.78206,-2.70797,-14.22743,24.07969,-26.37636,80.1293,1.55147,7.15571,3.04945,1.55147,-0.24558,1000079507,Right,55.12367,-119.81624,12.03985,5.03838,-1.57516,-13.18818,-0.85674,4.45753,-7.11372,180,3.04838,80.55357,,,,,,,,1.55186,-28.7802,,,,,,,,-0.24446,-84.5795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Low,,,,v3
8,2/9/2023,5,1,1000036206,Right,T_A,1000055244,Left,T_B,1,Top,2,0,0,0-0,ChangeUp,Changeup,StrikeSwinging,Undefined,Undefined,,Undefined,0,0,81.84218,-0.109766,-1.992325,1753.753671,262.391012,2:45,5.04265,1.06792,5.41504,-38.43065,4.53646,22.6447,1.7372,1.0878,74.20824,-7.17525,2.039492,0.47178,,,,,,,,,,,,-11.96083,2.77776,-0.90692,50,5.00643,3.17875,-118.65531,-1.55904,-16.83426,25.40969,-28.26448,79.89409,,7.63393,,,,1000079507,Right,55.08348,-119.73898,12.70485,5.04721,-0.35362,-14.13224,-1.0578,3.89669,-8.41713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,v3
9,2/9/2023,5,2,1000036206,Right,T_A,1000055244,Left,T_B,1,Top,2,0,1,0-1,ChangeUp,Changeup,FoulBall,Undefined,Undefined,GroundBall,Undefined,0,0,82.86657,-0.38121,-2.250958,1838.793447,246.091373,2:15,4.98845,1.21355,5.3796,-32.33624,9.73678,18.53485,1.93613,0.64693,74.84542,-6.368178,1.044362,0.466846,55.78975,-48.493455,80.036593,,,,,3.08324,2.63366,21.367449,0.033292,-10.09839,5.42937,-1.0259,50,4.93178,3.95054,-120.0751,-1.89367,-14.52014,26.53563,-24.36736,80.73856,2.04982,8.02115,2.55746,2.04982,-0.66321,1000079507,Right,55.11905,-121.20108,13.26782,4.99019,-0.85969,-12.18368,-1.20661,4.56668,-7.26007,,2.55722,9.42696,,,,,,,,2.05138,-61.56997,,,,,,,,-0.66458,53.66333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Low,,,,v3
10,2/9/2023,5,3,1000036206,Right,T_A,1000055244,Left,T_B,1,Top,2,0,2,0-2,Fastball,Sinker,StrikeSwinging,Strikeout,Undefined,,Undefined,0,0,89.60796,0.188454,-2.072494,2147.826382,251.238454,2:15,5.09487,1.08049,5.37167,-27.56281,8.31296,20.77796,2.97477,0.86804,80.97838,-4.919444,1.620192,0.431094,,,,,,,,,,,,-11.05465,4.47839,-0.9099,50,5.09255,3.74801,-129.89577,-0.58674,-18.66646,30.18118,-24.61199,87.43434,,8.62958,,,,1000079507,Right,55.12658,-131.08151,15.09059,5.09661,0.38021,-12.30599,-1.07156,4.48137,-9.33323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,v3
