PitchNo,Date,PAofInning,PitchofPA,PitcherId,PitcherThrows,PitcherTeam,BatterId,BatterSide,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,Count,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,AutoHitType,PlayResult,OutsOnPlay,RunsScored,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,EffectiveVelo,MaxHeight,SpeedDrop,ContactPositionX,ContactPositionY,ContactPositionZ,CatcherId,CatcherThrows,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence,System
1,10/20/2022,1,1,1000097859,Right,T_B,1000055244,Left,T_A,1,Top,0,0,0,0-0,ChangeUp,Changeup,InPlay,Undefined,GroundBall,GroundBall,Out,1,0,82.66898,-1.882957,-4.379036,1487.560949,234.816383,1:45,5.74259,2.54135,4.74542,-32.40616,10.22642,12.66465,1.25023,-0.56486,76.26816,-7.740865,-2.160567,0.46994,21.36083,13.378225,-19.846774,1510.692476,,,,21.03054,21.03054,-15.926297,0.612196,-7.41193,5.87378,-2.1122,50,5.52416,8.61246,-119.62505,-5.15184,-10.82058,21.46019,-23.59899,80.20695,2.21394,6.40082,3.12802,1.37368,0.53633,1000103236,Right,55.75535,-120.65311,10.7301,5.74388,-4.02132,-11.7995,-2.53721,9.13083,-5.41029,152.946786,3.12802,28.66868,-1.33431,0.25054,-0.49413,1.70202,-3.06026,2.87988,-1.11003,1.37368,7.24888,-15.7135,0.32486,0.16666,-0.56397,0.96807,-0.91421,0.35349,0.53633,-10.34781,0.11786,-0.0678,0.06321,-0.29976,0.53931,-0.49923,0.1913,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,,v3
2,10/20/2022,2,1,1000097859,Right,T_B,1000187798,Right,T_A,1,Top,1,0,0,0-0,Slider,Curveball,BallCalled,Undefined,Undefined,,Undefined,0,0,76.413,0.107324,-3.616543,2489.568592,28.434252,7:00,5.6205,2.09954,4.43552,-60.19925,-9.70941,-6.05555,0.70648,-1.85951,71.00395,-10.544313,-4.673858,0.511415,,,,,,,,,,,,1.99913,-4.42437,-1.70948,50,5.57221,7.24741,-110.71235,-2.0638,2.48919,19.17594,-37.68296,73.70228,,5.40906,,,,1000103236,Right,56.06783,-111.75838,9.58797,5.62872,-0.00821,-18.84148,-2.10113,7.11163,1.24459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,v3
3,10/20/2022,2,2,1000097859,Right,T_B,1000187798,Right,T_A,1,Top,1,1,0,1-0,Slider,Curveball,BallCalled,Undefined,Undefined,,Undefined,0,0,77.97796,0.544951,-2.924289,2303.869082,17.9307,6:30,5.63966,2.00071,4.50456,-57.15798,-8.7413,-3.30319,1.39636,-1.06294,72.0353,-9.623147,-3.502195,0.500805,,,,,,,,,,,,0.81051,-4.0224,-1.69074,50,5.64153,5.91335,-113.01283,-1.11903,1.04921,20.41646,-37.38098,75.26365,,5.94266,,,,1000103236,Right,55.99755,-114.09118,10.20823,5.6485,0.85535,-18.69049,-2.0016,5.85793,0.52461,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,v3
4,10/20/2022,2,3,1000097859,Right,T_B,1000187798,Right,T_A,1,Top,1,2,0,2-0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,,Undefined,0,0,89.01817,-0.376084,-2.627751,1959.309799,207.059707,1:00,6.05464,1.972,5.25285,-23.47474,12.63103,5.87461,3.74466,-0.00931,81.4097,-4.721023,-1.587381,0.432474,,,,,,,,,,,,-3.65622,6.75776,-1.73542,50,6.00302,5.65822,-129.09593,-1.69417,-6.18166,26.406,-20.74856,87.15547,,7.60848,,,,1000103236,Right,55.24537,-130.16442,13.203,6.05459,-0.8546,-10.37428,-1.96944,5.90835,-3.09083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,v3
5,10/20/2022,2,4,1000097859,Right,T_B,1000187798,Right,T_A,1,Top,1,3,0,3-0,Fastball,Four-Seam,FoulBall,Undefined,Undefined,FlyBall,Undefined,0,0,89.11341,-1.129682,-2.333685,2076.461996,207.449619,1:00,5.96959,1.94783,5.29984,-20.52454,15.31985,7.3893,3.19763,0.3715,81.77395,-4.945752,-1.023271,0.430905,77.40131,45.006245,39.978425,,76.94,88.87102,78.61444,243.29701,205.93134,50.352711,5.129045,-4.33614,8.31331,-1.74131,50,5.8522,4.94001,-129.30698,-3.26605,-7.37797,25.70978,-18.0289,87.47265,94.11235,7.33946,1.14169,3.11597,-0.43305,1000103236,Right,55.19947,-130.33668,12.85489,5.96855,-2.54397,-9.01445,-1.94508,5.2355,-3.68898,205.414848,1.1484,61.35086,-16.11193,3.50626,0.02122,-0.32444,0.10362,-0.01381,0.00069,3.10879,80.41956,-20.68051,2.05878,-0.64093,0.17571,-0.02377,0.00093,3.00E-05,-0.43251,51.55202,-5.50217,0.59699,0.14857,-0.11335,0.03143,-0.00415,0.00021,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,,v3
6,10/20/2022,2,5,1000097859,Right,T_B,1000187798,Right,T_A,1,Top,1,3,1,3-1,Fastball,Four-Seam,FoulBall,Undefined,Undefined,,Undefined,0,0,88.95558,-1.137045,-3.059288,1959.494502,216.058011,1:15,5.69865,2.09912,4.83712,-19.72627,17.05048,11.55768,2.97646,0.16269,81.25041,-4.795354,-1.028864,0.436474,66.91067,54.36208,137.863394,5289.129197,,,,,45.17228,,,-6.55445,9.06406,-1.80669,50,5.5698,6.34305,-128.86495,-3.2795,-11.0395,26.37192,-16.90767,86.3567,52.77059,7.70516,1.68073,2.76754,-0.21702,1000103236,Right,55.66182,-130.01847,13.18596,5.69707,-2.53995,-8.45384,-2.09469,6.82592,-5.51975,325.996424,1.68073,-42.40164,-1.94807,0.87863,0.08774,-0.26717,-0.20959,0.52253,-0.23843,2.76754,79.75626,-27.17625,3.23277,-0.70949,0.43383,-0.53613,0.41011,-0.12639,-0.21702,38.36159,-8.177,2.56389,0.03425,-0.40312,-0.62778,1.22208,-0.53466,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,,v3
7,10/20/2022,2,6,1000097859,Right,T_B,1000187798,Right,T_A,1,Top,1,3,2,3-2,Fastball,Sinker,InPlay,Undefined,GroundBall,GroundBall,Single,0,2,88.08145,-1.31333,-4.454576,1943.61422,228.745488,1:30,5.55659,2.23847,4.87036,-23.5458,13.92761,14.53674,2.34764,-0.77407,80.69087,-5.636547,-1.904651,0.440588,97.88555,-3.680628,-1.359744,,,,,25.44761,23.10255,0.765814,0.165808,-8.43414,7.57134,-1.81267,50,5.40751,9.26585,-127.46171,-3.81419,-13.93393,25.16054,-19.66552,85.55027,2.17417,7.39058,2.09279,2.17417,0.80367,1000103236,Right,55.63025,-128.5683,12.58027,5.55625,-2.94928,-9.83276,-2.23367,9.87868,-6.96697,338.828379,2.09295,143.21632,-14.33719,,,,,,,2.17469,-9.25716,-23.28974,,,,,,,0.80354,-3.38972,3.59174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Low,,,,v3
8,10/20/2022,3,1,1000097859,Right,T_B,1000110361,Right,T_A,1,Top,1,0,0,0-0,Slider,Curveball,BallCalled,Undefined,Undefined,,Undefined,0,0,78.04794,-0.966497,-4.850668,2488.798328,32.568054,7:00,5.69372,2.03782,4.57486,-54.91637,-6.3554,-5.01516,0.19437,-3.00643,72.22385,-10.697596,-5.725954,0.501551,,,,,,,,,,,,1.09957,-2.50701,-1.52941,50,5.54134,9.78181,-112.82057,-3.97241,1.4144,20.9085,-35.39886,75.15178,,5.82408,,,,1000103236,Right,55.92717,-113.91373,10.45425,5.70065,-2.12166,-17.69943,-2.0389,9.70786,0.7072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,v3
9,10/20/2022,3,2,1000097859,Right,T_B,1000110361,Right,T_A,1,Top,1,1,0,1-0,ChangeUp,Changeup,BallCalled,Undefined,Undefined,,Undefined,0,0,83.55545,-2.162899,-2.978398,1549.206183,233.832018,1:45,5.68399,2.07974,4.68311,-30.2338,11.4393,13.93843,1.10691,0.41049,77.19058,-7.630886,-0.533125,0.464621,,,,,,,,,,,,-7.60737,6.52788,-1.79011,50,5.4368,5.67588,-121.06764,-5.72305,-11.39243,21.6463,-22.3982,81.12504,,6.36487,,,,1000103236,Right,55.81679,-122.10322,10.82315,5.68496,-4.65149,-11.1991,-2.07469,6.2209,-5.69621,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.93023,1.729872,0.899379,0.830493,1.41459,1.10663,-0.41048,-1.59695,5.31498,-3.22938,61.09439,1.79215,-63.68492,-1.56323,80.16241,-5.6706,5.31645,4.58285,-10.62692,-3.28924,-80.01499,8.76662,High,High,High,,,High,High,Medium,v3
10,10/20/2022,3,3,1000097859,Right,T_B,1000110361,Right,T_A,1,Top,1,2,0,2-0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,,Undefined,0,0,90.35013,-0.659239,-2.870003,2139.953494,204.54681,12:45,5.98399,1.85052,5.30397,-17.04351,17.96588,7.69977,3.94403,-0.20428,82.49112,-3.867541,-1.505766,0.425857,,,,,,,,,,,,-4.63524,9.50508,-1.59549,50,5.91207,6.21219,-130.99472,-2.07103,-8.06735,27.24495,-15.63098,88.50961,,7.85901,,,,1000103236,Right,55.19384,-132.07055,13.62247,5.98166,-1.45381,-7.81549,-1.84708,6.53075,-4.03368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,v3
