PitchNo,Date,PAofInning,PitchofPA,PitcherId,PitcherThrows,PitcherTeam,BatterId,BatterSide,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,Count,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,AutoHitType,PlayResult,OutsOnPlay,RunsScored,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,EffectiveVelo,MaxHeight,SpeedDrop,ContactPositionX,ContactPositionY,ContactPositionZ,CatcherId,CatcherThrows,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence,System
1,11/9/2022,1,1,691205,Right,T_A,1000052539,Left,T_D,1,Top,0,0,0,0-0,Fastball,Sinker,InPlay,Undefined,LineDrive,LineDrive,Out,1,0,94.96114,-1.274224,-3.09577,2298.28351,234.73466,1:45,5.37257,1.50293,5.78281,-19.18899,12.29631,15.82245,2.58604,-0.0616,85.82257,-4.893491,-0.265511,0.403855,102.57171,17.860251,18.982817,1343.405855,102.37698,27.04358,40.23397,278.38244,273.01956,25.719267,2.605559,-9.09552,6.99162,-1.2574,50,5.25598,6.73067,-137.62585,-3.72157,-17.24341,33.83569,-18.91921,93.33168,29.42518,9.13856,2.25847,2.57046,0.05461,1000073611,Right,54.71644,-138.78055,16.91785,5.37198,-3.07592,-9.45961,-1.49714,7.31913,-8.6217,257.432706,2.25847,135.4012,-24.09435,5.43404,-1.23805,0.26544,-0.05458,0.00833,-0.00063,2.57046,46.13879,-21.95934,2.1969,-0.40822,0.07208,-0.01043,0.00125,-8.00E-05,0.05461,46.57693,2.20554,-1.79642,0.6219,-0.17127,0.03901,-0.00634,0.0005,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,,v3
2,11/9/2022,2,1,691205,Right,T_A,1000102997,Left,T_D,1,Top,1,0,0,0-0,Fastball,Sinker,FoulBall,Undefined,Undefined,GroundBall,Undefined,0,0,95.72573,-0.912605,-3.280743,2274.131003,239.087293,2:00,5.32536,1.47671,5.66766,-20.9497,10.3943,15.4067,2.72718,-0.3017,85.90246,-4.850885,-0.531546,0.402948,87.82662,-42.768302,-58.191544,,,,,2.8492,0.74076,-43.604292,0.030829,-8.8754,5.90677,-1.20917,50,5.23522,7.20842,-138.56313,-2.96329,-16.94557,36.14507,-20.89641,93.5418,2.70332,9.82327,0.52274,2.70332,0.51862,1000073611,Right,54.82886,-139.81709,18.07254,5.32545,-2.23835,-10.44821,-1.46945,7.7963,-8.47279,,0.52212,49.96648,,,,,,,,2.70441,-87.68695,,,,,,,,0.51962,-80.56113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Low,,,,v3
3,11/9/2022,2,2,691205,Right,T_A,1000102997,Left,T_D,1,Top,1,0,1,0-1,Fastball,Sinker,InPlay,Undefined,FlyBall,LineDrive,Out,1,0,94.86899,-1.817443,-3.146701,2221.06543,241.672742,2:00,5.39631,1.46086,5.53148,-21.65714,9.9528,16.54359,1.88951,-0.10493,86.51652,-5.838288,-0.200382,0.404653,89.71879,24.396905,-24.768668,4771.134716,95.52125,39.68999,-54.54858,284.7297,275.94284,-37.444839,3.464283,-9.29319,5.85154,-1.19886,50,5.2239,6.79109,-137.51079,-5.17452,-17.75033,31.19473,-20.99741,93.1475,44.68472,8.35248,1.55011,1.88594,0.11171,1000073611,Right,54.96837,-138.6333,15.59737,5.39651,-4.41895,-10.49871,-1.45472,7.42982,-8.87516,125.323889,1.55,108.81627,-24.70539,6.41898,-1.49125,0.3071,-0.05266,0.00577,-0.00023,1.88586,54.35662,-18.54083,0.77316,0.0311,0.00483,-0.01664,0.00583,-0.00062,0.11176,-50.20839,-2.57897,1.96245,-0.69352,0.17461,-0.03148,0.00346,-0.00017,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,,v3
4,11/9/2022,3,1,691205,Right,T_A,305,Undefined,T_D,1,Top,2,0,0,0-0,Cutter,Cutter,StrikeSwinging,Undefined,Undefined,,Undefined,0,0,90.73994,-1.048814,-1.331191,2267.854605,174.506013,11:45,5.41823,1.62994,4.89103,-26.75856,8.41197,-0.70409,2.19584,0.31179,83.19015,-5.927593,-1.455267,0.426836,,,,,,,,,,,,-0.01315,4.76949,-1.49882,50,5.29317,3.09234,-131.60607,-3.48647,-0.02312,27.22796,-23.78666,88.30665,,7.54979,,,,1000073611,Right,55.6067,-132.76098,13.61398,5.41966,-2.47754,-11.89333,-1.63001,3.09332,-0.01156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,v3
5,11/9/2022,3,2,691205,Right,T_A,305,Undefined,T_D,1,Top,2,0,1,0-1,Slider,Curveball,BallCalled,Undefined,Undefined,,Undefined,0,0,81.88945,2.4307,2.088016,2444.66804,75.421485,8:30,5.32939,1.60493,4.07603,-49.1592,-4.10792,-21.7306,3.56964,1.7998,74.19802,-6.345255,-1.682782,0.483086,,,,,,,,,,,,10.92894,-2.17685,-1.81419,50,5.54917,-3.26476,-118.4182,2.94417,15.39563,24.2871,-35.24057,78.02421,,7.69144,,,,1000073611,Right,56.42337,-119.72836,12.14355,5.33907,4.8452,-17.62029,-1.61567,-4.09527,7.69782,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,v3
6,11/9/2022,3,3,691205,Right,T_A,305,Undefined,T_D,1,Top,2,1,1,1-1,Slider,Slider,StrikeCalled,Undefined,Undefined,,Undefined,0,0,83.33068,1.049774,0.041458,2517.981603,70.569661,8:15,5.23434,1.63358,4.04391,-47.47522,-3.89382,-15.31772,2.28674,0.39693,75.60049,-7.412215,-2.618728,0.47514,,,,,,,,,,,,7.29733,-1.70725,-1.62031,50,5.30079,0.66312,-120.59423,0.16113,10.62838,25.85325,-34.66062,79.32907,,7.7302,,,,1000073611,Right,56.45427,-121.97007,12.92663,5.24314,2.00567,-17.33031,-1.64055,0.09751,5.31419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,v3
7,11/9/2022,3,4,691205,Right,T_A,305,Undefined,T_D,1,Top,2,1,2,1-2,Fastball,Four-Seam,BallCalled,Undefined,Undefined,,Undefined,0,0,94.79033,0.177067,-1.349676,2246.31842,204.181823,12:45,5.48885,1.31461,5.0101,-22.31604,9.85528,3.96484,3.79636,0.37086,86.38828,-3.934987,-0.649824,0.408231,,,,,,,,,,,,-2.33091,5.14048,-1.18844,50,5.48819,3.03869,-137.47084,-0.47543,-4.45872,30.5866,-22.34094,92.33122,,8.40206,,,,1000073611,Right,55.48685,-138.68626,15.2933,5.48944,0.41234,-11.17047,-1.3127,3.21587,-2.22936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,v3
8,11/9/2022,3,5,691205,Right,T_A,305,Undefined,T_D,1,Top,2,2,2,2-2,Fastball,Sinker,FoulBall,Undefined,Undefined,,Undefined,0,0,96.82867,-2.574029,-2.828345,2257.570536,241.885689,2:00,5.31952,1.59031,5.25999,-20.61989,10.07099,16.9521,1.17829,0.34356,88.29686,-6.3818,0.177401,0.398727,74.9748,22.013676,-125.6817,4300.788639,,,,,49.07242,,,-9.31315,6.07339,-1.34427,50,5.06838,6.09587,-140.24893,-7.12478,-18.49764,32.55052,-20.11118,94.53189,15.47315,8.53181,1.04786,1.02759,-0.39128,1000073611,Right,55.23954,-141.45975,16.27526,5.3195,-6.37668,-10.05559,-1.58382,6.78394,-9.24882,,1.04786,-59.46322,-2.79372,3.22794,-1.1615,0.3595,-0.09839,0.02771,-0.00575,1.02759,41.21715,-28.0985,4.61364,-1.07647,0.24171,-0.05027,0.01014,-0.00123,-0.39128,-82.80763,20.36836,-3.62032,0.69058,-0.0797,-0.00083,0.00865,-0.00411,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,,v3
9,11/9/2022,3,6,691205,Right,T_A,305,Undefined,T_D,1,Top,2,2,2,2-2,Fastball,Sinker,BallCalled,Undefined,Undefined,,Undefined,0,0,95.79377,-2.076737,-4.540486,2407.813673,249.926133,2:15,5.28314,1.54428,5.50522,-23.41336,7.94926,18.72052,1.38283,-1.15099,86.70418,-6.416187,-1.215119,0.403067,,,,,,,,,,,,-10.80839,4.96985,-1.16004,50,5.08566,10.09605,-138.48612,-5.93501,-20.79022,33.67521,-22.61441,93.51402,,9.08959,,,,1000073611,Right,54.99315,-139.69501,16.8376,5.28414,-5.12318,-11.3072,-1.53587,10.84239,-10.39511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,v3
10,11/9/2022,3,7,691205,Right,T_A,305,Undefined,T_D,1,Top,2,3,2,3-2,Slider,Slider,StrikeCalled,Strikeout,Undefined,,Undefined,0,0,82.29589,1.06573,0.441417,2622.385529,73.986389,8:30,5.24814,1.5536,3.76692,-47.48345,-2.64268,-14.32788,2.32038,0.78584,75.11632,-7.347782,-2.034616,0.481957,,,,,,,,,,,,6.90559,-1.12567,-1.58728,50,5.31722,-0.21603,-119.14693,0.14496,9.8888,23.70895,-33.78599,78.20713,,7.17957,,,,1000073611,Right,56.73242,-120.47916,11.85448,5.25574,2.04343,-16.89299,-1.55953,-0.7717,4.9444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,v3
11,11/9/2022,1,1,1000126315,Left,T_B,8886045,Right,T_A,1,Bottom,0,0,0,0-0,Fastball,Sinker,BallCalled,Undefined,Undefined,,Undefined,0,0,90.7878,-2.943394,2.867697,2073.076672,132.438247,10:30,5.27102,-2.67613,6.11618,-20.00788,13.86501,-13.91583,0.87652,-1.18219,82.74139,-6.717809,0.361339,0.418888,,,,,,,,,,,,8.04871,8.36811,2.46344,50,5.03454,-6.01549,-131.5944,-7.3878,14.03822,29.31923,-17.57871,89.98223,,8.04641,,,,1000100247,Right,54.38285,-132.56731,14.65962,5.27001,-6.80448,-8.78935,2.67078,-6.48133,7.01911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,v3
12,11/9/2022,1,2,1000126315,Left,T_B,8886045,Right,T_A,1,Bottom,0,1,0,1-0,Fastball,Four-Seam,InPlay,Undefined,Popup,,Out,1,0,91.13651,-3.624977,4.898879,2347.150734,143.354315,10:45,5.31218,-2.7197,6.41372,-14.74576,18.68757,-13.04426,0.73396,0.7082,82.87526,-6.473127,2.547111,0.416161,72.02706,78.630558,56.47003,,,,,,109.95604,,,8.31922,11.20327,2.37481,50,5.04513,-10.78268,-131.76932,-8.75358,14.53978,29.5558,-12.59367,90.57179,79.66974,8.26126,,,,1000100247,Right,54.08619,-132.68268,14.7779,5.30963,-8.3644,-6.29683,2.71497,-11.232,7.26989,198.362818,4.99821,11.50327,-5.8456,2.03856,-0.55239,0.143,-0.0353,0.00716,-0.00083,0.0951,103.56649,-31.93901,4.74394,-1.05579,0.23087,-0.05178,0.00975,-0.00107,-0.51338,17.35982,3.38658,-1.21596,0.33379,-0.08688,0.02156,-0.0044,0.00051,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,,v3
13,11/9/2022,2,1,1000126315,Left,T_B,691273,Right,T_A,1,Bottom,1,0,0,0-0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,,Undefined,0,0,91.68356,-2.526399,2.839746,2271.503128,143.877635,10:45,5.48167,-2.90201,6.21068,-17.13312,15.87442,-10.79056,1.71787,-1.17822,83.61978,-5.789086,0.89379,0.413502,,,,,,,,,,,,6.38776,9.27071,2.69405,50,5.28317,-6.14252,-132.96193,-6.36636,11.40216,29.27738,-15.62585,91.15408,,8.06378,,,,1000100247,Right,54.28731,-133.90265,14.63869,5.47967,-5.86428,-7.81293,2.8973,-6.50888,5.70108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,v3
14,11/9/2022,2,2,1000126315,Left,T_B,691273,Right,T_A,1,Bottom,1,0,1,0-1,ChangeUp,Changeup,StrikeSwinging,Undefined,Undefined,,Undefined,0,0,84.52272,-0.449349,3.614697,1785.824317,94.576928,9:15,5.1785,-2.78539,6.2827,-35.88915,2.55154,-17.31812,1.77275,-0.89261,77.79188,-7.107392,0.486468,0.446238,,,,,,,,,,,,9.96528,1.80906,2.52659,50,5.128,-7.10046,-122.74847,-2.0927,15.26049,23.45396,-29.40371,84.46703,,6.73083,,,,1000100247,Right,54.21834,-123.55185,11.72698,5.18243,-1.08551,-14.70185,2.77876,-7.62319,7.63024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,v3
15,11/9/2022,2,3,1000126315,Left,T_B,691273,Right,T_A,1,Bottom,1,0,2,0-2,Fastball,Four-Seam,BallCalled,Undefined,Undefined,,Undefined,0,0,92.24481,-3.694239,2.899493,2316.793785,146.506758,11:00,5.38905,-2.75725,5.84205,-14.26784,18.83548,-11.73737,0.75764,-1.03841,84.21975,-6.416094,0.797828,0.414102,,,,,,,,,,,,6.7991,10.98658,2.52786,50,5.07914,-6.24636,-133.56531,-9.04421,12.26833,29.07237,-12.34983,91.02217,,8.02506,,,,1000100247,Right,54.65617,-134.57497,14.53618,5.38579,-8.61531,-6.17491,2.75219,-6.67243,6.13417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,v3
16,11/9/2022,2,4,1000126315,Left,T_B,691273,Right,T_A,1,Bottom,1,1,2,1-2,Curveball,Slider,InPlay,Undefined,GroundBall,,Out,1,0,81.39872,0.740071,2.112834,2762.289112,294.009615,3:45,5.39064,-2.73347,5.87125,-47.31235,-5.27158,14.56099,2.13587,0.44333,75.27356,-7.910203,4.723969,0.466667,,,,,,,,,,,,-6.96973,-2.63618,2.55362,50,5.42256,-4.90505,-118.32169,-0.02549,-9.90122,22.13468,-35.919,80.76952,,6.12516,,,,1000100247,Right,54.63185,-119.18503,11.06734,5.39623,1.3755,-17.9595,2.7374,-4.51886,-4.95061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,v3
