PitchNo,Date,PAofInning,PitchofPA,PitcherId,PitcherThrows,PitcherTeam,BatterId,BatterSide,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,Count,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,AutoHitType,PlayResult,OutsOnPlay,RunsScored,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,EffectiveVelo,MaxHeight,SpeedDrop,ContactPositionX,ContactPositionY,ContactPositionZ,CatcherId,CatcherThrows,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence,System
1,10/26/2022,1,1,1000051614,Left,T_A,1000099417,Right,T_C,1,Top,0,0,0,0-0,Fastball,Sinker,StrikeCalled,Undefined,Undefined,,Undefined,0,0,94.48811,-0.721092,3.144266,1886.270684,97.958959,9:15,5.48402,-2.59665,5.16124,-29.01966,3.69544,-17.87926,2.38594,-1.12412,85.08529,-6.047482,-0.019168,0.411666,,,,,,,,,,,,9.88138,2.4287,2.31726,50,5.39472,-6.61982,-136.72567,-2.92148,18.41553,34.49806,-27.64779,91.56067,,9.40281,,,,1000055344,Right,55.33603,-138.06547,17.24903,5.48733,-1.84772,-13.8239,2.58824,-7.33502,9.20777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,v3
2,10/26/2022,1,2,1000051614,Left,T_A,1000099417,Right,T_C,1,Top,0,0,1,0-1,Slider,Slider,BallCalled,Undefined,Undefined,,Undefined,0,0,83.50452,1.696652,0.10005,2518.802409,303.274788,4:00,5.40224,-2.68412,4.41354,-45.40412,-2.90606,6.52465,3.23813,-2.04493,76.15745,-6.449601,1.240183,0.469198,,,,,,,,,,,,-3.12599,-1.47378,2.66666,50,5.53801,-0.51807,-120.98917,1.70427,-4.61937,24.28362,-34.35189,80.33378,,7.34707,,,,1000055344,Right,56.08531,-122.20445,12.14181,5.4097,3.42341,-17.17595,2.6868,-0.2869,-2.30969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,v3
3,10/26/2022,1,3,1000051614,Left,T_A,1000099417,Right,T_C,1,Top,0,1,1,1-1,Fastball,Sinker,InPlay,Undefined,GroundBall,,Out,1,0,93.82077,-1.78999,4.779175,2106.660741,111.111521,9:45,5.53752,-2.51475,5.50203,-24.94493,7.66288,-16.95013,1.77823,0.55304,85.19503,-6.401121,1.770764,0.410991,,,,,,,,,,,,10.04508,4.71051,2.10843,50,5.36384,-10.56617,-135.67473,-5.19429,18.59682,31.56221,-23.45333,91.71109,,8.62574,,,,1000055344,Right,54.99801,-136.83248,15.78111,5.53859,-4.33399,-11.72667,2.50852,-11.24833,9.29841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,v3
4,10/26/2022,2,1,1000051614,Left,T_A,1000079313,Left,T_C,1,Top,1,0,0,0-0,Slider,Slider,StrikeCalled,Undefined,Undefined,,Undefined,0,0,84.40443,0.319172,2.762542,2513.50582,359.694059,6:00,5.44813,-2.64975,4.39578,-45.03995,-3.85177,0.02685,1.99984,-0.00836,78.11834,-7.699533,2.767226,0.46191,,,,,,,,,,,,0.68291,-1.60532,2.35485,50,5.43727,-5.90708,-122.39326,-1.20769,1.04539,22.0788,-34.63152,81.60124,,6.28609,,,,1000055344,Right,56.10528,-123.48969,11.0394,5.45454,0.51211,-17.31576,2.64948,-5.95899,0.5227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,v3
5,10/26/2022,2,2,1000051614,Left,T_A,1000079313,Left,T_C,1,Top,1,0,1,0-1,ChangeUp,Changeup,BallCalled,Undefined,Undefined,,Undefined,0,0,86.7227,-2.516287,6.312263,1695.45751,84.736795,8:45,5.25045,-2.74296,5.02036,-39.59116,-0.52972,-20.27371,-0.43944,1.54864,79.20182,-9.647638,2.752159,0.449827,,,,,,,,,,,,12.0282,0.79547,2.15364,50,4.97564,-12.92763,-124.98286,-7.07034,18.91578,26.5492,-30.9231,83.7932,,7.52088,,,,1000055344,Right,55.4813,-126.14184,13.2746,5.25482,-5.72042,-15.46155,2.73601,-13.75338,9.45789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,v3
6,10/26/2022,2,3,1000051614,Left,T_A,1000079313,Left,T_C,1,Top,1,1,1,1-1,Fastball,Sinker,BallCalled,Undefined,Undefined,,Undefined,0,0,94.16858,-1.264056,6.75551,2134.681359,106.818765,9:30,5.52597,-2.61532,5.37912,-26.03257,6.76571,-18.52446,2.16314,2.20332,85.10948,-6.06099,3.494568,0.41219,,,,,,,,,,,,11.23843,4.13418,2.02117,50,5.39393,-15.16138,-135.64178,-4.03044,20.77468,31.8282,-24.53186,91.44442,,9.0591,,,,1000055344,Right,55.1182,-136.83749,15.9141,5.52804,-3.10884,-12.26593,2.6054,-15.94184,10.38734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,v3
7,10/26/2022,2,4,1000051614,Left,T_A,1000079313,Left,T_C,1,Top,1,2,1,2-1,Slider,Slider,StrikeCalled,Undefined,Undefined,,Undefined,0,0,85.40262,0.711522,2.251317,2717.240641,286.233263,3:30,5.42761,-2.73308,4.58366,-41.05132,-0.37736,6.07185,2.68411,-0.08427,77.52256,-6.688651,3.31402,0.459018,,,,,,,,,,,,-2.26201,0.02209,2.49424,50,5.46318,-5.14739,-123.60658,-0.15068,-3.46533,26.88862,-32.14022,82.11542,,7.88006,,,,1000055344,Right,55.91361,-124.88636,13.44431,5.43395,1.37907,-16.07011,2.73531,-4.98245,-1.73266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,v3
8,10/26/2022,2,5,1000051614,Left,T_A,1000079313,Left,T_C,1,Top,1,2,2,2-2,Slider,Slider,StrikeSwinging,Strikeout,Undefined,,Undefined,0,0,85.74549,-0.849629,4.017245,2736.753406,300.105333,4:00,5.62396,-2.51148,4.48531,-40.63183,0.00205,2.39851,1.4262,1.52325,78.06079,-8.127212,4.435404,0.458792,,,,,,,,,,,,0.06173,0.59665,2.08611,50,5.49534,-8.81289,-123.89747,-3.51444,0.09496,27.1663,-31.25627,82.15586,,7.6847,,,,1000055344,Right,56.01392,-125.20917,13.58315,5.6286,-2.00526,-15.62814,2.51175,-8.81748,0.04748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.07843,2.693829,1.336358,1.357471,3.50087,1.71909,-1.36188,-1.13514,6.01865,0.07214,73.04867,7.90111,-51.74237,-0.94081,60.62393,-4.46677,6.15283,19.59876,-13.45424,-0.10328,-43.22796,3.78476,High,High,High,,,High,High,High,v3
9,10/26/2022,3,1,1000051614,Left,T_A,90000221623,Right,T_C,1,Top,2,0,0,0-0,Fastball,Sinker,BallCalled,Undefined,Undefined,,Undefined,0,0,94.15383,-0.712507,2.348287,1996.880645,103.457902,9:30,5.47069,-2.73115,5.05156,-26.73092,6.33788,-21.41285,2.57051,-2.29952,84.71646,-5.63053,-1.435733,0.413886,,,,,,,,,,,,11.33607,3.73016,2.52525,50,5.38194,-4.51214,-136.29983,-2.79055,20.97677,34.52386,-25.27155,91.06961,,9.43737,,,,1000055344,Right,55.44577,-137.6723,17.26193,5.4729,-1.78591,-12.63577,2.7212,-5.34605,10.48839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,v3
10,10/26/2022,3,2,1000051614,Left,T_A,90000221623,Right,T_C,1,Top,2,1,0,1-0,Slider,Slider,BallCalled,Undefined,Undefined,,Undefined,0,0,84.49981,1.090227,1.251725,2522.959312,289.99433,3:45,5.43567,-2.66008,4.5339,-41.11959,0.1452,3.22595,3.04751,-1.19919,77.18723,-6.311671,1.816399,0.46234,,,,,,,,,,,,-1.21421,0.16197,2.52633,50,5.5105,-2.827,-122.4598,0.64931,-1.84082,24.55449,-31.9285,81.52545,,7.31258,,,,1000055344,Right,55.96449,-123.64996,12.27725,5.44152,2.19689,-15.96425,2.66119,-2.73778,-0.92041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,v3
